Faculdade,entrants,graduates
Faculdade Presidente Antônio Carlos De Matozinhos,2, 52
Faculdade De Tecnologia Cachoeiro De Itapemirim,2, 236
Faculdade Presidente Antônio Carlos De São João Del Rei,2, 1126
Faculdade Cândido Rondon De Campo Verde,186, 300
Instituto Superior De Educação De Bicas,2, 42
Faculdade De Ciências,2,80
Faculdade Metodista Do Sul Paulista,2,38
Faculdade De Tecnologia Senai Luzerna,62,174
Faculdade De Ciências Contábeis De Itabirito,2,162
Instituto Superior De Educação Do Sul Da Bahia,2, 144